Year;City;Country;Avg_temp
1927;Budapest;Hungary;20.okt
1928;Budapest;Hungary;9.82
1929;Budapest;Hungary;8.82
1930;Budapest;Hungary;10.58
1931;Budapest;Hungary;9.44
1932;Budapest;Hungary;9.50
1933;Budapest;Hungary;8.64
1934;Budapest;Hungary;16.nov
1935;Budapest;Hungary;9.87
1936;Budapest;Hungary;10.45
1937;Budapest;Hungary;10.53
1938;Budapest;Hungary;09.okt
1939;Budapest;Hungary;10.39
1940;Budapest;Hungary;7.74
1941;Budapest;Hungary;8.72
1942;Budapest;Hungary;8.92
1943;Budapest;Hungary;25.okt
1944;Budapest;Hungary;9.80
1945;Budapest;Hungary;12.okt
1946;Budapest;Hungary;10.54
1947;Budapest;Hungary;16.okt
1948;Budapest;Hungary;18.okt
1949;Budapest;Hungary;10.34
1950;Budapest;Hungary;10.75
1951;Budapest;Hungary;11.nov
1952;Budapest;Hungary;16.okt
1953;Budapest;Hungary;14.okt
1954;Budapest;Hungary;15.szept
1955;Budapest;Hungary;9.59
1956;Budapest;Hungary;8.76
1957;Budapest;Hungary;31.okt
1958;Budapest;Hungary;28.okt
1959;Budapest;Hungary;20.okt
1960;Budapest;Hungary;30.okt
1961;Budapest;Hungary;10.69
1962;Budapest;Hungary;9.48
1963;Budapest;Hungary;9.47
1964;Budapest;Hungary;9.36
1965;Budapest;Hungary;07.szept
1966;Budapest;Hungary;10.61
1967;Budapest;Hungary;10.38
1968;Budapest;Hungary;10.34
1969;Budapest;Hungary;9.67
1970;Budapest;Hungary;9.70
1971;Budapest;Hungary;09.okt
1972;Budapest;Hungary;10.37
1973;Budapest;Hungary;9.84
1974;Budapest;Hungary;10.47
1975;Budapest;Hungary;10.62
1976;Budapest;Hungary;9.65
1977;Budapest;Hungary;28.okt
1978;Budapest;Hungary;23.szept
1979;Budapest;Hungary;10.38
1980;Budapest;Hungary;8.89
1981;Budapest;Hungary;06.okt
1982;Budapest;Hungary;25.okt
1983;Budapest;Hungary;10.70
1984;Budapest;Hungary;9.96
1985;Budapest;Hungary;11.szept
1986;Budapest;Hungary;9.88
1987;Budapest;Hungary;9.58
1988;Budapest;Hungary;19.okt
1989;Budapest;Hungary;10.64
1990;Budapest;Hungary;10.96
1991;Budapest;Hungary;9.66
1992;Budapest;Hungary;01.nov
1993;Budapest;Hungary;22.okt
1994;Budapest;Hungary;11.58
1995;Budapest;Hungary;10.34
1996;Budapest;Hungary;9.44
1997;Budapest;Hungary;9.89
1998;Budapest;Hungary;10.35
1999;Budapest;Hungary;10.64
2000;Budapest;Hungary;11.69
2001;Budapest;Hungary;10.47
2002;Budapest;Hungary;11.43
2003;Budapest;Hungary;10.51
2004;Budapest;Hungary;10.37
2005;Budapest;Hungary;05.okt
2006;Budapest;Hungary;10.67
2007;Budapest;Hungary;11.82
2008;Budapest;Hungary;11.55
2009;Budapest;Hungary;11.48
2010;Budapest;Hungary;10.35
2011;Budapest;Hungary;10.92
2012;Budapest;Hungary;11.31
2013;Budapest;Hungary;12.44
